aaad 工期
awme 花骨
awmf 花雕
awmg 共同
awmm 巫山
awms 花朵
awmt 茶几
awna 花展
awnd 共居
awng 孽情
awnt 共性
awny 花心 苍翠
awob 花籽
awoj 花烛
awoq 花炮
awos 花灯
awow 花粉
awoy 茶炉
awpd 茶寮
awpf 花冠
awpn 花蜜
awpw 苍穹
awpy 恭祝
awqb 恭迎
awqc 茶色 花色
awqf 花针
awqg 花钱
awqi 花销
awqk 共勉
awqn 茶馆 荷包
awqt 花儿
awqu 花镜
awqy 花鸟
awrc 茶摊
awrd 共振
awrh 花掉
awrl 共舞
awrm 茶缸
awrq 花魁
awrr 苍白 花白
awrv 花招
awsf 花枝
awsg 茶杯
awsh 共相
awso 茶楼
awss 花木
awsu 花样
awsv 孽根
awsw 苍松
awsy 巫术
awtb 花季
awte 茶盘
awtg 花生 共生 苍生
awth 共处
awtj 花香 花篮
awtk 共和
awtm 花筒
awtp 共管
awtq 恭称
awty 花簇
awua 花瓶
awud 花卷
awue 花前
awuf 荷兰 芬兰
awum 共商
awuq 茶资
awur 花瓣
awut 共产 茶道 巷道
awuy 苍凉
awvf 共建
awvk 花絮
awwb 共创
awwf 茶会
awwg 花剑
awwh 恭候
awwv 花盆
awww 花丛
awwy 花翎
awxa 花红
awxg 花线
awxj 花费
awxq 共约
awxu 荏弱
awxw 恭维
awxx 孽缘
awxy 花纹
awya 共度
awyb 共享
awyd 共庆
awye 花衣
awyf 共计
awyh 花店
awyk 共识
awyl 共为
awym 花市
awyp 茶亭
awyt 花旗
awyw 茶座
awyy 共议
axad 蕴藏
axaj 药草
axaw 药茶
axcy 药叉
axdg 药厂
axet 药用
axeu 药膳
axgg 药王
axgj 药理
axgk 药囊
axhw 药具
axib 蕴涵
axii 药水
axip 药学
axis 药酒
axiw 药浴
axiy 药液
axjg 药量
axjt 药监
axkf 药味
axkk 药品
axlt 药力
axma 药典
axnn 药书
axnt 药性
axog 药业
axou 药料
axow 药粉
axpe 药农
axpu 药补
axqg 药铺
axqk 药名
axqn 药饵
axra 药皂
axrm 药罐
axsa 药械
axsf 药材
axsr 药棉
axsw 药检
axth 药片
axtj 药香
axtr 药物
axts 药箱
axua 药瓶
axuj 药单
axuq 药效
axuw 药疹
axvy 药丸
axwg 药盒
axwy 蕴含
axxh 药引
axxj 药费
axyh 药店
axyj 药剂
axyl 药库
axyn 药房
axyp 药膏
axyy 药方
ayad 芳菲
ayae 荠菜
ayaf 芦苇 荒芜
ayai 荒落
ayaj 芳草 荒草
ayav 蘑菇
ayaw 芦荟
aybc 萃取
ayce 蓄能
aydi 芒硝
aydr 荒原
ayed 蓄须
ayfb 荒地
ayfc 芳魂
ayfh 荒坡
aygh 荒政
aygm 芒刺
ayhw 芳龄
ayhx 芦柴
ayia 荒漠
ayic 芳泽
ayie 荒淫
ayii 蓄水
ayis 蔗渣
ayjf 荒野
ayjs 芒果
aykh 芳踪
aylf 荒置
aymm 荒山
aynh 荒疏
aynt 蓄发
ayny 芳心
ayoc 芳烃
ayoy 蔗糖
aypf 荒寒
ayph 荒寂
aypt 匾额
aypw 芳容
ayqd 蔼然
ayqk 芳名
ayqy 荒岛
ayrg 荒丘
ayrh 荒年
ayrv 蓄势
aysf 荒村
aysg 芳醇
aytj 芳香
aytk 蓄积
aytt 芦笙
aytv 芦笋
ayud 蓄养
ayui 荒瘠
ayuj 蓄意
ayuq 荒郊
ayuv 荒歉
ayuy 荒凉
aywn 荒僻
ayww 荒谷
aywx 芳华
aywy 芳邻
ayya 蓄谋
ayyc 荒弃
ayye 蓑衣
ayyn 荒废 荒谬
ayyt 荒诞
ayyv 荒唐
badd 陈套
baet 陈胜
bafc 陈云
bafw 陈规
bagq 陈列
bahc 陈皮
bahj 陈旧
bais 陈酒
bamt 陈账
bang 陈情
baoy 陈米
barg 陈兵
barh 陈年
basg 陈醋
basy 陈述
baue 陈毅
bawx 陈货
baxv 陈绍
bayg 陈请
baym 陈设
bayn 陈词
bayo 陈迹
bayr 陈诉
bayt 陈放
bayu 陈说
bayw 陈腐
bayy 陈言
bbbi 子孙
bbel 子爵
bbfj 子堤
bbfw 子规
bbha 子虚
bbhh 子目
bbjf 子时
bbjh 子曰
bbkm 子嗣
bbmq 子网
bbna 子民
bbpk 子宫
bbqg 耶稣 耶鲁
bbqk 子句
bbqt 子儿
bbqv 子键
bbth 子息
bbtv 耶律
bbux 子弟
bbvn 子婿
bbvt 子群
bbvv 子女
bbwa 子代
bbwg 子侄
bbwy 子集
bbxg 子母
bbxu 子弹
bbyn 子房
bbyt 耶诞
bbyw 子夜
bcad 取其
bcae 聚散
bcag 取巧
bcai 聚落
bcbc 聚聚
bcbg 聂耳
bcbm 取出
bcdc 取码
bcdh 聚在
bcdn 聚成
bcet 取胜
bcex 聚脂
bcfd 颞颥
bcff 取款
bcfh 取走
bcfp 取过
bcgc 取到
bcgh 取下
bcgo 取来
bcgq 聚歼
bcgu 取平
bcgv 娶妻
bchq 聚餐
bcif 取法
bcii 取消
bciq 聚光
bcje 取暖
bcjy 取景
bclk 取回
bcme 颞骨
bcmf 聚财
bcnd 聚居
bcnu 取悦
bcov 取数
bcoy 聚糖
bcpd 取宠
bcpp 取之
bcqg 取钱
bcqi 取乐
bcqk 取名
bcrc 取反
bcrd 聚拢
bcsf 取材
bcsg 聚酯
bcsu 取样
bcth 取自
bctj 取得
bctk 聚积
bctm 取向
bctr 取物
bctt 取笑
bcud 聚头
bcun 取决
bcus 娶亲
bcut 聚首 取道
bcuy 取闹
bcwa 取代
bcwf 聚会 取舍
bcwg 聚合 聚敛
bcwk 取保
bcwr 取件
bcww 聚众
bcwx 取货
bcwy 聚焦 聚集 取信
bcxc 取经
bcxf 聚结
bcxu 取缔
bcyg 取证
bcyj 聚齐
bcyn 取词
bcyo 聚变
bcyq 取义
bcyy 聚议
bdag 随葬
bdai 堕落
bdap 承蒙
bdbw 随队
bdcn 堕马
bdcq 承欢
bddg 随感
bddw 承奉
bddx 承袭
bdec 堕胎
bdep 承受
bdfa 承载
bdfb 随地
bdfc 承运
bdfj 隋朝
bdfk 随喜
bdfm 陇南
bdft 承教
bdgc 随到
bdgk 随带
bdgu 承平
bdhh 承上
bdip 随常
bdit 陇海
bdiv 承当
bdjf 随时
bdkd 随顺
bdkh 陌路
bdkk 随口
bdkm 随员
bdlf 承转
bdlg 随车
bdlw 承办
bdmg 随同
bdmq 随风
bdng 承情
bdny 随心
bdpl 随军
bdpp 随之
bdqg 承印
bdqi 承销
bdqn 承包
bdrg 随后
bdrj 承担 承揽
bdrm 承制
bdrt 随手
bdru 承接
bdsh 随想
bdsm 随机
bdte 承租
bdtf 承德 随行
bdtg 陌生
bdth 随处
bdtk 随和
bdtm 随身
bdtp 承乏
bdtt 随笔
bdty 堕入
bdud 随着
bdue 承前
bduj 随意
bduk 承兑
bdvc 随即
bdvf 承建
bdwa 承贷
bdwd 承做
bdwf 承传
bdwg 随便
bdwk 承保
bdww 随从 随俗
bdxo 承继
bdxx 随缘
bdya 承诺
bdyh 承让
bdyi 承应
bdyn 随记
bdyt 随州
bdyv 隋唐
bdyw 承认
bdyy 随访
beac 阴茎
beal 阴功
beau 阴蒂
bebe 阴阴
bebg 阻隔
bebj 阴阳
bebw 阴险
becb 阴柔
becw 阻难
bede 阴郁
bedf 阴唇
bedj 阻碍
bedl 阴历
bedm 阴面
befa 阻截
befb 阴地
befc 阴云 阴魂
befe 阴霾
befg 阴雨
befm 阻击
begd 阴天
begk 阴囊
begm 阴曹
begu 阴平
begx 阴毒
beha 阴虚
behh 阻止
beig 阻滞
beij 阴湿
beip 阴沉
beiq 阴沟
bejg 阴晴
bejn 阴电
bejq 阻遏
bejt 阴晦
beju 阴暗
bejy 阴影
bekg 阻吓
bekh 阴跌
belt 阻力
bemm 阴山
bemq 阴风
beng 阴司
bent 阴性
benx 阻尼
beon 阻断
bepf 阻塞
bept 阴宅
beqe 阴角
beqq 阴爻
beqt 阴狠
bera 阻挠
bere 阻援
beri 阻挡
berk 阴损
bern 阴气
beru 阻拦
berv 阴鸷
bery 阻抗
bese 阴极
besg 阻梗
bess 阴森
besy 阴核
betc 阴私
betf 阴德
bett 阴笑
beuj 阴间
beuk 阴部
beut 阴道
beuw 阴冷
beuy 阴凉
bewf 阻值
bewn 阴阜
bexg 阴线
bexq 阻绝
beya 阴谋
beyn 阴户
beyy 阴文
bfaj 陵墓
bfdh 陆丰
bffb 陆地
bffc 陆运
bffh 陡坡
bffu 陡增
bfhh 陆上
bfhk 陆战
bfii 陵水
bfip 陆沉
bfit 陆海
bfjm 际遇
bfkh 陆路
bflf 陵园
bflk 陆架
bfmc 陡峻
bfmd 陡崖
bfmi 陡峭
bfmq 陆风
bfnk 陡壁
bfpl 陆军
bfpu 陵寝
bfpw 陆空
bfqd 陡然
bfqv 陡急
bfst 陆桥
bfta 陡升
bftd 阮籍
bfte 陆稻
bfuu 陡立
bfwf 际会
bfxf 陆续
bfya 陡度
bfyb 陆离
bfym 陵庙
bfyo 陡变
bgan 隔世
bgaw 陋巷
bgbf 耳际
bgbn 耳孔
bgbw 卫队
bgce 卫通
bgdd 耳套
bgdn 隔成
bgdx 耳聋
bgdy 卫戍
bgea 隔膜
bgff 隔墙
bgfg 卫士
bgfk 耳鼓
bgfm 陕南
bgfr 耳垢
bgfw 陋规
bgga 隔开
bggd 隔天
bggg 耳环
bggt 耳麦
bghh 耳目
bgia 隔江
bgid 耳尖
bgii 隔水
bgiq 耳光
bgiw 卫浴
bgjj 隔日
bgjk 耳蜗
bgjq 卫冕
bgjt 卫星
bgkd 耳顺
bgkl 隔别
bgkq 耳鸣
bgkr 耳听
bglg 卫国
bglp 耳边
bglq 耳软
bglt 耳力
bglu 耳畔
bgmd 隔岸
bgmm 隔山
bgmq 耳风
bgms 耳朵
bgng 陋屋
bgnk 隔壁
bgno 耳屎
bgnu 陋习
bgny 隔心
bgon 隔断
bgoo 隔火
bgpf 耳塞
bgpw 耳穴
bgpy 卫视
bgqn 耳饰
bgrb 卫报
bgrg 卫兵
bgrv 隔热
bgry 卫护
bgsg 陕西
bgsm 耳机
bgsr 隔板
bgsu 卫校
bgsv 耳根
bgtf 隔行
bgtg 卫生
bgtu 耳科
bgub 耳闻
bgud 隔着
bguj 隔音
bguk 耳部
bgup 耳旁
bgut 卫道
bgux 陕北
bguy 隔阂
bgwa 隔代
bgww 陋俗
bgxq 隔绝
bgyb 隔离
bgyg 耳语
bgyn 隔扇
bgyw 隔夜
bgyy 耳廓
bhdf 耻辱
bhdn 蚩尤
bhme 耻骨
bhtt 耻笑
bibb 孙子
bidd 函大
biep 孙膑
bifb 隙地
bifp 函索
biga 孙武
bigf 逊于
bijn 函电
bikg 孙吴
bimq 函购
binx 逊尼
biov 函数
bipd 函寄
biqc 逊色
biqt 孙儿
bire 函授
bisc 孙权
bish 丞相
bitf 函告
bitj 函复
biuj 隙间
bivv 孙女
biwr 函件
biwu 逊位
bixt 隙缝
biym 函调
biyy 孙文
bjan 阳世
bjat 阳萎
bjck 阳台
bjdl 阳历
bjdt 阳寿
bjdw 阳春
bjgu 阳平
bjha 阳虚
bjhw 阳具
bjia 阳江
bjiq 阳光
bjje 阳明
bjjn 阳电
bjlw 阳界
bjmq 阳刚
bjnt 阳性
bjpt 阳宅
bjqq 阳爻
bjri 阳泉
bjrn 阳气
bjse 阳极
bjub 阳朔
bjud 阳关
bjuj 阳间
bjut 阳痿
bjwu 阳伞
bjxg 阳线
bjyy 阳文
bkaa 职工
bkai 陨落
bkce 职能
bkdd 职大
bkdg 陨石
bked 亟须
bkfd 亟需
bkfn 职场
bkft 职教
bkgm 职责
bkgo 陨灭
bkhw 亟盼
bkip 职掌
bkjt 陨星
bkkh 职中
bkkl 职别
bkkm 职员
bknt 职改
bkog 职业
bkpf 职守
bkqr 陨铁
bksc 职权
bksu 职校
bktf 亟待
bktl 职务
bktq 职称
bkue 职前
bkwu 职位
bkwv 职分
bkxe 职级
bkym 职高
blaa 阵式
blap 阵营
blbb 孟子
blbl 阵阵
bldh 孟夏
bldw 孟春
blef 阵脚
blfb 阵地
blfg 阵雨
blfv 阵雪
blga 阵形
blgq 阵列
bliy 孟浪
blls 孟轲
blmq 阵风
blnt 阵发
blnu 孟买
blpw 阵容
blrv 阵势
blto 孟秋
bluc 阵痛
blue 阵前
blxg 阵线
blyn 阵亡
bmaa 出工
bmad 聘期
bmaf 出鞘
bmag 出葬
bmai 出落
bmak 出勤
bmal 出苗
bman 出世
bmaq 出警
bmaw 出恭
bmbl 出阵
bmbn 出了
bmbp 出院
bmbw 出险
bmca 出戏
bmcf 出对
bmck 出台
bmcn 出马
bmdg 出厂
bmdh 出在
bmdm 出面
bmds 出奇
bmef 出脚
bmei 出膛
bmes 出彩
bmet 聘用
bmeu 出脱
bmfc 出去 出动
bmfd 出城
bmff 出土
bmfh 出走
bmfi 出示
bmfj 出刊
bmfm 出击
bmfn 出声 出场 出卖
bmfp 出过
bmfu 出境
bmgf 出于
bmgk 出事
bmgm 出现
bmgo 出来
bmgq 出殡
bmhk 出战
bmhw 出具
bmia 出港
bmid 出尖
bmif 出汗
bmig 出清
bmii 出水
bmim 出没
bmip 出演
bmiq 出逃
bmit 出海
bmiu 出洋
bmiw 出浴
bmiy 出游
bmjg 出题 出师
bmjt 出监
bmkg 出号
bmkh 出路
bmkk 出品 出口
bmlg 出国
bmlt 出力
bmlu 出圈
bmlv 出轨
bmlw 出界
bmma 出典
bmmm 出山
bmmt 出账
bmna 出展
bmnf 出丑
bmnn 出局 聘书
bmnt 出发
bmny 出尽
bmoy 出炉
bmpe 出家
bmpf 出塞
bmpy 出神 聘礼
bmqa 出错
bmqb 出迎
bmqc 出色
bmqg 出钱
bmqh 出外
bmqk 出名
bmqq 聘金
bmqr 出铁
bmqt 出狱
bmqu 出镜
bmrg 出兵
bmrk 出操
bmrm 出缺
bmrn 出气
bmrt 出手
bmrv 出招
bmst 出格
bmsu 出栏
bmtd 出笼
bmte 出租
bmtf 出行
bmtg 出生 出征
bmth 出版 出处 出自
bmtl 出血
bmtm 出身
bmtu 出乎
bmty 出入
bmud 出差 出头
bmuh 出站
bmuk 聘问
bmuq 出资
bmus 出新
bmut 出道 出产
bmuy 出门
bmvp 出嫁
bmwa 出借
bmwd 出伏
bmwg 出使
bmwt 出任 聘任
bmwu 出位
bmww 出价 出众
bmwx 出货
bmwy 出售
bmxg 出线
bmxm 出纳
bmxo 出继
bmxq 聘约
bmya 出席
bmyg 聘请
bmyh 出让
bmyl 聘为
bmyn 出亡
bmyt 出庭
bmyw 出诊
bmyy 出访
bnbb 孔子
bnbi 孔隙
bnbl 孔孟
bnbn 了了
bnby 孑孓
bnce 也能
bncw 也难
bnde 也有
bndh 也在
bndn 也成
bndy 也太
bnet 也用
bnfc 了却
bnfq 也无
bnga 孔型
bngi 也不
bngk 了事
bngn 也与
bngo 也来
bnhv 孔眼
bnhx 了些
bnig 了清
bnim 也没
bnip 也常
bniv 了当
bniw 孔雀
bnje 孔明
bnjg 也是
bnka 了呀
bnkc 了吗
bnkh 孑遗
bnkl 也别
bnlf 也罢
bnmt 了账
bnnb 也敢
bnnc 也怪
bnnn 也已
bnny 也以
bnon 了断
bnpp 了之
bnqd 了然
bnqe 了解
bnrg 孔丘
bnrh 也看
bnrt 也挺
bnsh 也想
bnsk 也可
bnsv 也要
bntc 孔径
bntf 也行
bnth 也算
bntj 了得
bntk 也和
bntm 也向
bntq 也称
bntv 也很
bnul 也曾
bnuq 也将
bnut 孔道
bnuy 也门
bnvb 也好
bnwd 也做
bnwf 也会
bnwq 也像
bnxf 了结
bnyg 也请
bnyi 也就
bnym 孔庙
bnyn 了望
bnyt 也许
bnyw 孔府
bnyy 也该
bobo 耿耿
bofh 耿直
bowj 耿介
bpai 院落
bpbb 院子
bpbj 辽阳
bpff 院墙
bpfg 院士
bpfj 院刊
bpfm 院坝
bpfq 辽远
bpgf 耽于
bpid 辽源
bpip 辽沈
bpis 辽河
bpix 耽溺
bpjf 院里
bpjl 陀螺
bpkh 院中
bplf 院团
bplg 辽国
bpmw 院内
bpps 辽宁
bppt 院宅
bpqh 院外
bpqq 辽金
bprn 院所
bpru 耽搁
bpsg 辽西
bpsu 院校
bpta 院长
bptl 院务
bptx 院系
bpui 辽阔
bpuk 院部
bpuy 院门
bpxe 院级
bpxg 院线
bpyk 耽误
bpyy 院方
bqaa 隐匿
bqad 隐藏
bqai 陷落
bqan 陶艺
bqau 隐蔽
bqax 隐蕴
bqbb 孢子
bqbf 陷阱
bqbl 陷阵
bqbq 聊聊
bqdh 陷在
bqfc 隐去
bqfd 聊城
bqff 陶土
bqfg 隐士
bqfh 聊起
bqfy 陷坑
bqga 隐形
bqgc 聊到
bqgd 聊天
bqge 聊表
bqgf 陷于
bqgk 聊赖
bqgm 隐现
bqha 隐瞒
bqhh 聊上
bqim 隐没
bqix 陷溺
bqjm 隐映
bqjt 隐晦
bqkk 隐患
bqkw 隐喻
bqnd 隐居 隐忧
bqng 隐情
bqnk 隐避
bqnt 隐性
bqny 聊以
bqpd 陷害
bqpn 隐密
bqqd 隐然
bqqk 陶锅
bqrf 隐遁
bqrm 陶罐
bqsg 陶醉
bqtc 隐私
bqtj 聊得
bqtm 隐身 陷身
bqtn 隐秘
bqty 陷入
bqub 陶塑
bquc 陶冶 隐痛
bqud 聊着
bquq 陶瓷
bqut 隐疾
bqve 隐退
bqvy 隐忍
bqwc 陶俑
bqwd 隐伏
bqwn 隐僻
bqwy 隐含
bqxq 隐约
bqyd 聊斋
bqyf 隐讳
bqyg 隐语
bqyk 隐衷
bqyy 陶文
brad 孤苦
brbb 孤子
brej 孤胆
brfc 孤魂
brfd 孤城
brft 孤老
brfw 孤零
brgq 孤残
brjt 孤星
brmh 孤帆
brmm 孤山
brmt 孤峰
brol 孤烟
bros 孤灯
brpd 孤寡
brpf 孤寒
brph 孤寂
brpl 孤军
brqt 孤独 孤儿
brqy 孤岛
brrk 孤拐
brsg 孤本
brso 孤楼
brte 孤舟
brtm 孤身
bruj 孤单
brun 孤癖
bruu 孤立
brvf 孤孀
brvv 孤女
brwg 孤傲
brwn 孤僻
brxu 孤弱
brym 孤高
bsbp 耵聍
bsbw 阿附
bseu 阿胶
bsfm 阿坝
bshi 阿叔
bsih 阿婆
bsjf 阿里
bsjl 阿曼
bskf 阿嚏
bslv 阿囡
bsnu 阿飞
bsqy 阿訇
bsru 阿拉
bssk 阿哥
bsth 阿片
bsuf 阿斗
bsuy 阿门
bsvc 阿妈
bsve 阿姐
bsvf 阿妹
bsvg 阿姨
bsvp 阿婶
bswc 阿公
bswq 阿爸
bswr 阿伯
bsya 阿诺
bsyv 阿谀
btai 降落
btan 降世
btau 降薪
btbd 阡陌
btbg 聒耳
btbk 降职
btbt 隆隆
btdf 降压
btdi 降耗
btdn 隆盛
bteb 降服
bteq 隆胸
btfg 降雨
btfh 隆起
btfv 降雪
btgc 降至 降到
btgh 降下
btif 降尘
btii 降水
btij 降温
btiw 隆兴
btjj 隆昌
btjt 降临
btkd 降顺
btkh 隆中
btkk 聒噪
btld 隆恩
btmh 降幅
btng 隆情
btoo 降火
btqe 降解
btst 降格
bttg 隆重
btth 降息
bttu 隆冬
btty 降入
btuw 隆准
btvt 降妖
btwd 降伏
btwq 降低
btww 降价
btxe 降级
btyc 降序
btyl 降为
btyt 降旗
buag 陪葬
buak 联勤
buap 联营
buau 障蔽
bubw 联队
buby 联防
buce 联通
bucq 联欢
budd 联大
budh 聪慧
budj 障碍
budt 联邦
budw 联奏
bufc 联运
buft 联考
buhv 障眼
buim 隧洞
buis 陪酒
buje 聪明 联盟
bujn 联电
bukh 隘路
bukj 联唱
bukk 隘口
bulf 联署
bulw 联办
bumg 陪同
bumq 联网
buna 联展
bunk 障壁
bupf 联赛
bupj 陪审
bupl 联军
bupt 陪客
bupu 联袂 陪衬
buqk 联名
burt 联手 联播
bury 陪护
bush 联想
busm 联机
butr 陪我
butt 陪笑
butx 联系 聪敏
buud 陪送
buut 隧道
buvl 联姻
buvp 陪嫁
buwf 联会
buwg 联合
buwk 联保
buws 联体
buwu 陪伴
buww 联众
buwx 联华
buwy 陪住
buxa 陪练
buxd 陪绑
buxf 联结
buxt 联络 聪颖
buya 联席
buyf 陪读
buyn 联翩
buyp 联谊
buys 陪床
buyw 陪夜
bvad 限期
bvgf 限于
bvgk 限速
bvhh 限止
bviy 限流
bvjf 限时
bvjg 限量
bvjn 限电
bvlw 限界
bvmq 限购
bvpg 限定
bvpt 限额
bvrm 限制
bvtu 限乘
bvud 限养
bvut 限产
bvwu 限位
bvww 限价
bvwy 限令
bvya 限度
bwaa 险工
bwai 坠落
bwaj 除草
bwaq 险区
bwat 队医
bwbb 坠子
bwbd 附随
bwbe 险阻
bwbg 附耳
bwbn 除了
bwbu 险隘
bwcu 附骥
bwdc 队友
bwde 附有
bwdg 阶石
bwdh 附在
bwdj 除非
bwdm 附页
bweb 队服
bwet 险胜
bwfa 附载
bwfb 坠地
bwfc 除去 除却
bwfr 除垢
bwfs 除霜
bwft 聆教
bwfu 险境
bwga 队形
bwge 附表
bwgh 阶下
bwgk 附带
bwgm 险遭
bwgo 险恶
bwgq 队列
bwgx 险夷
bwhh 附上
bwhj 除旧
bwhx 险些
bwic 险滩 除治
bwif 除尘 除法
bwih 附小
bwij 除湿
bwit 坠海
bwiy 附注
bwjj 队日
bwkg 除号
bwkh 附中
bwkk 除患
bwkl 险别
bwkm 队员
bwkr 聆听
bwld 险固
bwlk 附加
bwlt 附图
bwmc 险峻
bwmi 险峭
bwmj 附则
bwmm 险山
bwmt 险峰
bwmu 附赠
bwnc 险怪
bwnf 阶层
bwng 险情
bwnt 附属
bwny 除以
bwov 除数
bwpd 除害
bwpy 队礼
bwqh 除外
bwqj 险象
bwqk 除名
bwqt 除夕
bwqv 除皱 险急
bwrg 附后
bwrh 除掉
bwrp 附近
bwsc 除权
bwsk 队歌
bwsm 坠机
bwso 坠楼
bwsu 阶梯
bwsv 险要
bwta 队长
bwth 除息
bwtk 附和
bwtm 附身
bwtt 附笔
bwtu 险乎
bwty 坠入
bwub 附逆
bwud 附着
bwuk 队部
bwum 除弊
bwva 坠毁
bwvi 附录
bwwd 阶段
bwwg 队伍
bwwn 险僻
bwwr 附件
bwxe 阶级
bwxq 险绝
bwym 附设
bwyn 聆讯 附记
bwyt 队旗
bwyv 附庸
bwyw 除夜
bwyy 附言
bxgh 陛下
byai 防范
byaq 防区
bybb 孩子
bybg 防卫
bybw 防除
bydo 防灰
byfb 防地
byfd 防震
byfg 防雨
byfl 防雷
bygx 防毒
byhh 防止
byhw 防龋
byia 防洪
byic 防治
byif 防潮 防尘
byih 防波
byii 防水
byij 防湿
byim 防滑
byin 防汛
byja 防暴
byjf 防暑
byjh 防虫
byjs 防晒
bykk 防患
bylf 防黑
bymq 防风
byoj 防爆
byoo 防火
bypf 防守
bypo 防灾
bypw 防空
byqt 孩儿
byrj 孩提
byrp 防控
byru 防撞
byrv 防热
byry 防护
bytl 防备 防务
bytm 防身
bytr 防御
byua 防冻
byuf 防凌
byug 防病
byuj 孩童
byum 防疫
byuq 防盗
bywx 防化
bywy 防伪
byxg 防线
byxp 防缩
byxu 防弹
byyo 防变
byyw 防腐
caad 颈项
caae 驱散
caah 驱邪
caaj 劲草
cabb 戏子
cabp 戏院
cabw 驱除
cacd 骁骑
cace 骁勇
cack 戏台
cacu 骐骥
cadc 戏码
cadm 戏耍
caeb 戏服
caef 颈脖
caep 驱逐
cafc 驱动
cafh 驱赶
cafn 戏场
caga 戏弄
cagq 劲烈
cagr 戏珠
cagy 戏班
cahh 戏目
caif 戏法
caii 戏水
cajf 戏里
cajh 驱虫
cajv 戏照
cajy 驱蚊
cakh 戏路 驱遣
cakq 劲吹
calg 驱车
calt 劲力
cama 戏曲
camq 劲风
cand 戏剧
canj 骁悍
cany 驱尽
caoj 劲爆
caop 戏迷
capf 驱寒
caqn 戏馆
caqt 劲儿
carl 劲舞
carp 驱迫
casf 戏票
cask 劲歌
caso 戏楼
casw 颈椎
cata 劲升
catd 劲敌
catg 驱策
catm 劲射
catq 戏称
caud 劲头
cauf 戏装
cauk 颈部
cauq 骁将
caut 劲道
cauy 戏闹
cawg 驱使
cawt 戏侮
cawv 劲健
caye 戏衣
cayg 戏评
cayh 戏谑
cayt 劲旅
cayu 戏说
cayy 戏言
cbad 预期
cbaq 预警
cbbt 骤降
cbby 预防
cbca 驰驱
cbcb 柔柔
cbcm 驰骋
cbdf 矜夸
cbdg 预感
cbdh 预存
cben 柔肠
cbfc 预支
cbfg 骤雨
cbfh 骤起
cbfi 预示
cbfn 柔韧
cbft 预考
cbfu 骤增
cbgc 骤至
cbhe 邓肯
cbhh 预卜
cbim 预测
cbip 预演
cbiq 预兆
cbiu 柔润
cbiw 驰誉
cbjt 预览
cbkd 柔顺
cblf 预置
cblq 柔软
cbma 蟊贼
cbmq 预见
cbna 预展
cbnd 豫剧
cbng 柔情
cbnh 预收
cbnt 柔性
cbnu 预习
cbny 予以
cbon 预断
cbou 预料
cbpf 预赛
cbpg 预定
cbpj 预审
cbpv 预案
cbpy 预祝
cbqd 骤然
cbqk 驰名
cbqy 预留
cbrb 预报
cbre 驰援
cbrf 矛盾 矜持
cbrg 预后
cbrj 预提
cbrm 预制
cbrv 预热
cbsh 预想
cbsy 柔术
cbta 骤升
cbtd 预知
cbtf 预告 预先 预选
cbth 预算
cbtk 柔和
cbtl 预备
cbtu 预科
cbud 矛头
cbuf 预装
cbug 柔美
cbuq 预交
cbut 柔道
cbuu 预立
cbuw 预冷
cbvg 柔嫩
cbvn 柔媚
cbvp 柔婉
cbwa 预借
cbwd 预估
cbwf 预付
cbwv 预分
cbww 予人
cbwx 柔化
cbwy 预售
cbxi 柔纱
cbxl 柔细
cbxq 预约
cbxr 预缴
cbxu 柔弱
cbya 预谋
cbyf 预计
cbym 预设
cbyo 骤变
cbys 预订
cbyy 预言
ccaa 双工
ccab 双节
ccai 骀荡
ccau 双薪
ccbg 双耳
cccc 双双
cccn 骏马
ccdc 双雄
ccdf 双唇
ccdj 双百
ccdm 双面
ccdn 叠成
ccdx 双龙
cceb 双乳
ccef 双脚
ccem 双股
cces 双膝
ccev 双腿
ccey 又及
ccfa 双塔
ccfc 骚动
ccfg 双十
ccfh 叠起
ccfk 双喜
ccfm 双击
ccfn 双声
ccfw 双规
ccgd 桑蚕
ccgf 垒球
ccgg 又一
ccgi 又不
ccgu 双颊
cchc 双眸
cchh 双目
cchi 双频
cchv 双眼
ccip 双掌
cciy 双流
ccjg 又是
ccjj 双日
ccjt 双星
cckf 骚味
cckg 双号
cckh 驿路
cckn 又叫
ccld 又因
cclk 叠加
ccll 桑田
cclp 双边
cclv 双轨
ccmf 双周
ccmt 双峰
ccmu 叠嶂
ccnf 双层
ccnh 双眉
ccnk 双臂
ccnl 双翼
ccnr 又怕
ccnu 双飞 双屏
ccny 叠翠
ccou 双料
ccov 双数
ccpb 叠字
ccpt 骚客
ccqe 双解
ccqg 叠印
ccqk 又名
ccqq 双钩
ccqv 双键
ccrd 骚扰
ccre 双拥
ccrk 双拐
ccrn 骚气
ccrs 双打
ccrt 双手
ccru 双拼
ccrw 双抢
ccsa 双杠
ccsc 桑树
ccsh 又想
ccsm 双机
ccss 双栖
ccsu 桑梓
ccsv 又要
ccsw 双枪
ccta 双簧
cctd 骚乱
cctf 双行
cctg 双重
ccth 双片
cctk 双程
cctm 双向
cctp 双管
cctv 又很
ccud 双关
ccuh 驿站
ccuj 叠韵
ccuk 又问
ccuq 又将
ccus 双亲
ccut 驿道
ccvb 叠好
ccvk 又如
ccvt 双姓
ccvy 双刃
ccwf 又会
ccwg 双全 桑拿
ccwm 双侧
ccws 双休
